version	upstream_sha	upstream_file	include_line	include_token	include_kind	configuration	source_resolution	correspondence_owner	mapping_status	remaining	evidence
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	decoders/include/rive/decoders/astc_footprints.hpp	8	cstdint	system	all	system:cstdint	toolchain:rust-std	prepared	Use the mapped owner; no partial local substitute.	cpp:decoders/include/rive/decoders/astc_footprints.hpp:8-8
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/factory.hpp	8	rive/renderer.hpp	project	all	include/rive/renderer.hpp	unit:generic-renderer-contract	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/factory.hpp:8-8
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/factory.hpp	9	rive/text_engine.hpp	project	all	include/rive/text_engine.hpp	rust:crates/nuxie-runtime/src/text.rs	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/factory.hpp:9-9
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/factory.hpp	10	rive/audio/audio_source.hpp	project	all	include/rive/audio/audio_source.hpp	rust:crates/nuxie-runtime/src/assets/audio_asset.rs	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/factory.hpp:10-10
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/factory.hpp	11	rive/refcnt.hpp	project	all	include/rive/refcnt.hpp	unit:generic-refcnt	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/factory.hpp:11-11
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/factory.hpp	12	rive/span.hpp	project	all	include/rive/span.hpp	rust:crates/nuxie-renderer/src/lib.rs	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/factory.hpp:12-12
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/factory.hpp	13	rive/math/aabb.hpp	project	all	include/rive/math/aabb.hpp	rust:crates/nuxie-render-api/src/lib.rs	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/factory.hpp:13-13
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/factory.hpp	15	stdio.h	system	all	system:stdio.h	toolchain:rust-std	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/factory.hpp:15-15
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/factory.hpp	16	cstdint	system	all	system:cstdint	toolchain:rust-std	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/factory.hpp:16-16
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/gpu_texture_format.hpp	3	cstdint	system	all	system:cstdint	toolchain:rust-std	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/gpu_texture_format.hpp:3-3
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/refcnt.hpp	8	rive/rive_types.hpp	project	all	include/rive/rive_types.hpp	unit:generic-rive-types	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/refcnt.hpp:8-8
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/refcnt.hpp	10	atomic	system	all	system:atomic	toolchain:rust-std	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/refcnt.hpp:10-10
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/refcnt.hpp	11	cstddef	system	all	system:cstddef	toolchain:rust-std	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/refcnt.hpp:11-11
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/refcnt.hpp	12	type_traits	system	all	system:type_traits	toolchain:rust-std	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/refcnt.hpp:12-12
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/refcnt.hpp	13	utility	system	all	system:utility	toolchain:rust-std	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/refcnt.hpp:13-13
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	8	rive/enums.hpp	project	all	include/rive/enums.hpp	rust:crates/nuxie-render-api/src/lib.rs	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/renderer.hpp:8-8
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	9	rive/shapes/paint/color.hpp	project	all	include/rive/shapes/paint/color.hpp	rust:crates/nuxie-render-api/src/lib.rs	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/renderer.hpp:9-9
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	10	rive/command_path.hpp	project	all	include/rive/command_path.hpp	rust:crates/nuxie-render-api/src/lib.rs	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/renderer.hpp:10-10
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	11	rive/layout.hpp	project	all	include/rive/layout.hpp	rust:crates/nuxie-render-api/src/lib.rs	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/renderer.hpp:11-11
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	12	rive/refcnt.hpp	project	all	include/rive/refcnt.hpp	unit:generic-refcnt	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/renderer.hpp:12-12
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	13	rive/math/aabb.hpp	project	all	include/rive/math/aabb.hpp	rust:crates/nuxie-render-api/src/lib.rs	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/renderer.hpp:13-13
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	14	rive/math/mat2d.hpp	project	all	include/rive/math/mat2d.hpp	rust:crates/nuxie-render-api/src/lib.rs	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/renderer.hpp:14-14
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	15	rive/shapes/paint/blend_mode.hpp	project	all	include/rive/shapes/paint/blend_mode.hpp	rust:crates/nuxie-render-api/src/lib.rs	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/renderer.hpp:15-15
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	16	rive/shapes/paint/image_sampler.hpp	project	all	include/rive/shapes/paint/image_sampler.hpp	unit:generic-image-sampler	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/renderer.hpp:16-16
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	17	rive/shapes/paint/stroke_cap.hpp	project	all	include/rive/shapes/paint/stroke_cap.hpp	rust:crates/nuxie-render-api/src/lib.rs	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/renderer.hpp:17-17
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	18	rive/shapes/paint/stroke_join.hpp	project	all	include/rive/shapes/paint/stroke_join.hpp	rust:crates/nuxie-render-api/src/lib.rs	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/renderer.hpp:18-18
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	19	utils/lite_rtti.hpp	project	all	include/utils/lite_rtti.hpp	unit:generic-lite-rtti	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/renderer.hpp:19-19
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	20	rive/math/raw_path.hpp	project	all	include/rive/math/raw_path.hpp	rust:crates/nuxie-render-api/src/lib.rs	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/renderer.hpp:20-20
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	21	stdio.h	system	all	system:stdio.h	toolchain:rust-std	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/renderer.hpp:21-21
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	22	cstdint	system	all	system:cstdint	toolchain:rust-std	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/renderer.hpp:22-22
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	12	memory	system	all	system:memory	toolchain:rust-std	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/rive_types.hpp:12-12
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	13	string.h	system	all	system:string.h	toolchain:rust-std	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/rive_types.hpp:13-13
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	44	TargetConditionals.h	system	ifdef __APPLE__	system:TargetConditionals.h	toolchain:rust-std	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/rive_types.hpp:44-44
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	58	algorithm	system	all	system:algorithm	toolchain:rust-std	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/rive_types.hpp:58-58
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	59	cassert	system	all	system:cassert	toolchain:rust-std	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/rive_types.hpp:59-59
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	60	cstddef	system	all	system:cstddef	toolchain:rust-std	prepared	Use the mapped owner; no partial local substitute.	cpp:include/rive/rive_types.hpp:60-60
